# CREPDL collections expressed as CREPDL scripts
# Format: number|name|resource-filename
270|COMBINING CHARACTERS|crepdl_270_COMBINING_CHARACTERS.xml
1900|COMBINING CHARACTERS|crepdl_1900_COMBINING_CHARACTERS.xml
63|ALPHABETIC PRESENTATION FORMS|crepdl_63_ALPHABETIC_PRESENTATION_FORMS.xml
250|GENERAL FORMAT CHARACTERS|crepdl_250_GENERAL_FORMAT_CHARACTERS.xml
251|SCRIPT-SPECIFIC FORMAT CHARACTERS|crepdl_251_SCRIPT-SPECIFIC_FORMAT_CHARACTERS.xml
283|MODERN EUROPEAN SCRIPTS|crepdl_283_MODERN_EUROPEAN_SCRIPTS.xml
285|BASIC JAPANESE|crepdl_285_BASIC_JAPANESE.xml
287|COMMON JAPANESE|crepdl_287_COMMON_JAPANESE.xml
303|UNICODE 3.1|crepdl_303_UNICODE_3.1.xml
304|UNICODE 3.2|crepdl_304_UNICODE_3.2.xml
305|UNICODE 4.0|crepdl_305_UNICODE_4.0.xml
306|UNICODE 4.1|crepdl_306_UNICODE_4.1.xml
307|UNICODE 5.0|crepdl_307_UNICODE_5.0.xml
308|UNICODE 5.1|crepdl_308_UNICODE_5.1.xml
309|UNICODE 5.2|crepdl_309_UNICODE_5.2.xml
310|UNICODE 6.0|crepdl_310_UNICODE_6.0.xml
311|UNICODE 6.1|crepdl_311_UNICODE_6.1.xml
312|UNICODE 6.2|crepdl_312_UNICODE_6.2.xml
313|UNICODE 6.3|crepdl_313_UNICODE_6.3.xml
314|UNICODE 7.0|crepdl_314_UNICODE_7.0.xml
315|UNICODE 8.0|crepdl_315_UNICODE_8.0.xml
316|UNICODE 9.0|crepdl_316_UNICODE_9.0.xml
317|UNICODE 10.0|crepdl_317_UNICODE_10.0.xml
318|UNICODE 11.0|crepdl_318_UNICODE_11.0.xml
340|COMBINED FIRST EDITION|crepdl_340_COMBINED_FIRST_EDITION.xml
390|MOJI-JOHO-KIBAN IDEOGRAPHS-2016|crepdl_390_MOJI-JOHO-KIBAN_IDEOGRAPHS-2016.xml
4000|UCS PART-2|crepdl_4000_UCS_PART-2.xml
319|UNICODE 12.0|crepdl_319_UNICODE_12.0.xml
320|UNICODE 12.1|crepdl_320_UNICODE_12.1.xml
321|UNICODE 13.0|crepdl_321_UNICODE_13.0.xml
322|UNICODE 14.0|crepdl_322_UNICODE_14.0.xml
323|UNICODE 15.0|crepdl_323_UNICODE_15.0.xml
324|UNICODE 15.1|crepdl_324_UNICODE_15.1.xml
325|UNICODE 16.0|crepdl_325_UNICODE_16.0.xml
326|UNICODE 17.0|crepdl_326_UNICODE_17.0.xml
