# CREPDL inline ISO/IEC 10646 collections
# Format: number|name|codepoints (semicolon-separated lines: "start,end" or "single")
1|BASIC LATIN|32,126
2|LATIN-1 SUPPLEMENT|160,255
3|LATIN EXTENDED-A|256,383
4|LATIN EXTENDED-B|384,591
5|IPA EXTENSIONS|592,687
6|SPACING MODIFIER LETTERS|688,767
7|COMBINING DIACRITICAL MARKS|768,879
8|BASIC GREEK|880,975
9|GREEK SYMBOLS AND COPTIC|976,1023
10|CYRILLIC|1024,1279
11|ARMENIAN|1328,1423
12|BASIC HEBREW|1488,1514
13|HEBREW EXTENDED|1424,1487;1515,1535
14|BASIC ARABIC|1536,1631
15|ARABIC EXTENDED|1632,1791
16|DEVANAGARI|2304,2431;8204;8205
17|BENGALI|2432,2559;8204;8205
18|GURMUKHI|2560,2687;8204;8205
19|GUJARATI|2688,2815;8204;8205
20|ORIYA|2816,2943;8204;8205
21|TAMIL|2944,3071;8204;8205
22|TELUGU|3072,3199;8204;8205
23|KANNADA|3200,3327;8204;8205
24|MALAYALAM|3328,3455;8204;8205
25|THAI|3584,3711
26|LAO|3712,3839
27|BASIC GEORGIAN|4304,4351
28|GEORGIAN EXTENDED|4256,4303
29|HANGUL JAMO|4352,4607
30|LATIN EXTENDED ADDITIONAL|7680,7935
31|GREEK EXTENDED|7936,8191
32|GENERAL PUNCTUATION|8192,8303
33|SUPERSCRIPTS AND SUBSCRIPTS|8304,8351
34|CURRENCY SYMBOLS|8352,8399
35|COMBINING DIACRITICAL MARKS FOR SYMBOLS|8400,8447
36|LETTERLIKE SYMBOLS|8448,8527
37|NUMBER FORMS|8528,8591
38|ARROWS|8592,8703
39|MATHEMATICAL OPERATORS|8704,8959
40|MISCELLANEOUS TECHNICAL|8960,9215
41|CONTROL PICTURES|9216,9279
42|OPTICAL CHARACTER RECOGNITION|9280,9311
43|ENCLOSED ALPHANUMERICS|9312,9471
44|BOX DRAWING|9472,9599
45|BLOCK ELEMENTS|9600,9631
46|GEOMETRIC SHAPES|9632,9727
47|MISCELLANEOUS SYMBOLS|9728,9983
48|DINGBATS|9984,10175
49|CJK SYMBOLS AND PUNCTUATION|12288,12351
50|HIRAGANA|12352,12447
51|KATAKANA|12448,12543
52|BOPOMOFO|12544,12591;12704,12735
53|HANGUL COMPATIBILITY JAMO|12592,12687
54|CJK MISCELLANEOUS|12688,12703
55|ENCLOSED CJK LETTERS AND MONTHS|12800,13055
56|CJK COMPATIBILITY|13056,13311
60|CJK UNIFIED IDEOGRAPHS|19968,40959
61|PRIVATE USE AREA|57344,63743
62|CJK COMPATIBILITY IDEOGRAPHS|63744,64255
64|ARABIC PRESENTATION FORMS-A|64336,64975;65008,65023
65|COMBINING HALF MARKS|65056,65071
66|CJK COMPATIBILITY FORMS|65072,65103
67|SMALL FORM VARIANTS|65104,65135
68|ARABIC PRESENTATION FORMS-B|65136,65278
69|HALFWIDTH AND FULLWIDTH FORMS|65280,65519
70|SPECIALS|65520,65533
71|HANGUL SYLLABLES|44032,55203
72|BASIC TIBETAN|3840,4031
73|ETHIOPIC|4608,4991
74|UNIFIED CANADIAN ABORIGINAL SYLLABICS|5120,5759
75|CHEROKEE|5024,5119
76|YI SYLLABLES|40960,42127
77|YI RADICALS|42128,42191
78|KANGXI RADICALS|12032,12255
79|CJK RADICALS SUPPLEMENT|11904,12031
80|BRAILLE PATTERNS|10240,10495
81|CJK UNIFIED IDEOGRAPHS EXTENSION A|13312,19903;64031;64035
82|OGHAM|5760,5791
83|RUNIC|5792,5887
84|SINHALA|3456,3583
85|SYRIAC|1792,1871
86|THAANA|1920,1983
87|BASIC MYANMAR|4096,4175;8204;8205
88|KHMER|6016,6143;8204;8205
89|MONGOLIAN|6144,6319
90|EXTENDED MYANMAR|4176,4255
91|TIBETAN|3840,4095
92|CYRILLIC SUPPLEMENT|1280,1327
93|TAGALOG|5888,5919
94|HANUNOO|5920,5951
95|BUHID|5952,5983
96|TAGBANWA|5984,6015
97|MISCELLANEOUS MATHEMATICAL SYMBOLS-A|10176,10223
98|SUPPLEMENTAL ARROWS-A|10224,10239
99|SUPPLEMENTAL ARROWS-B|10496,10623
100|MISCELLANEOUS MATHEMATICAL SYMBOLS-B|10624,10751
101|SUPPLEMENTAL MATHEMATICAL OPERATORS|10752,11007
102|KATAKANA PHONETIC EXTENSIONS|12784,12799
103|VARIATION SELECTORS|65024,65039
104|LTR ALPHABETIC PRESENTATION FORMS|64256,64284
