# CREPDL out-of-line ISO/IEC 10646 collections
# Format: number|name|resource-filename
281|MES-1|281.txt
282|MES-2|282.txt
-100285||-100285.txt
-200285||-200285.txt
-287||-287.txt
286|JAPANESE NON IDEOGRAPHICS EXTENSION|286.txt
288|MULTILINGUAL LATIN SUBSET|288.txt
301|BMP-AMD.7|301.txt
302|BMP SECOND EDITION|302.txt
0|Age1-1|Age1-1.txt
0|Age2-0|Age2-0.txt
0|Age2-1|Age2-1.txt
0|Age3-0|Age3-0.txt
0|Age3-1|Age3-1.txt
0|Age3-2|Age3-2.txt
0|Age4-0|Age4-0.txt
0|Age4-1|Age4-1.txt
0|Age5-0|Age5-0.txt
0|Age5-1|Age5-1.txt
0|Age5-2|Age5-2.txt
0|Age6-0|Age6-0.txt
0|Age6-1|Age6-1.txt
0|Age6-2|Age6-2.txt
0|Age6-3|Age6-3.txt
0|Age7-0|Age7-0.txt
0|Age8-0|Age8-0.txt
0|Age9-0|Age9-0.txt
0|Age10-0|Age10-0.txt
0|Age11-0|Age11-0.txt
0|Age12-0|Age12-0.txt
0|Age12-1|Age12-1.txt
-340||-340.txt
370|IICORE|IICORE.txt
371|JIS2004 IDEOGRAPHICS EXTENSION|JIExt.txt
372|JAPANESE IDEOGRAPHICS SUPPLEMENT|JAPANESE IDEOGRAPHICS SUPPLEMENT.txt
373|JAPANESE IT VENDORS CONTEMPORARY IDEOGRAPHS-1993|JAPANESE IT VENDORS CONTEMPORARY IDEOGRAPHS-1993.txt
374|JAPANESE JIS X 0213:2004 IDEOGRAPHS FROM PREVIOUS JIS STANDARDS|JAPANESE JIS X 0213-2004 IDEOGRAPHS FROM PREVIOUS JIS STANDARDS.txt
375|JAPANESE CORE KANJI|JapaneseCoreKanji.txt
0|Age13-0|Age13-0.txt
0|Age14-0|Age14-0.txt
0|Age15-0|Age15-0.txt
0|Age15-1|Age15-1.txt
0|Age16-0|Age16-0.txt
0|Age17-0|Age17-0.txt
